Labs waren opmerkelijk voor Cr 1,7 (basislijn 0,5 volgens oude gegevens) en lactaat 2,4. 	 De patiënt heeft een verhoogde Cr 	 entailment 
De patiënte begon drie weken geleden symptomen van buikpijn, misselijkheid en braken te vertonen die leken op [**-locatie **]-episoden van diverticulitis en kwam ongeveer een week later naar het [**-ziekenhuis3 **] toen zij constateerde dat er ontlasting uit haar vagina liep en een CT-scan in het buitenziekenhuis de enterovaginale fistel aantoonde. 	 Ze heeft een geschiedenis van spijsverteringsaandoeningen 	 entailment 
De patiënte begon drie weken geleden symptomen van buikpijn, misselijkheid en braken te vertonen die leken op [**-locatie **]-episoden van diverticulitis en kwam ongeveer een week later naar het [**-ziekenhuis3 **] toen zij constateerde dat er ontlasting uit haar vagina liep en een CT-scan in het buitenziekenhuis de enterovaginale fistel aantoonde. 	 Ze heeft geen gastro-intestinale disfunctie 	 contradiction 
De patiënte begon drie weken geleden symptomen van buikpijn, misselijkheid en braken te vertonen die leken op [**-locatie **]-episoden van diverticulitis en kwam ongeveer een week later naar het [**-ziekenhuis3 **] toen zij constateerde dat er ontlasting uit haar vagina liep en een CT-scan in het buitenziekenhuis de enterovaginale fistel aantoonde. 	 Ze heeft een geschiedenis van obesitas 	 neutral 
Ze is begonnen met Dilantin. 	 De patiënt heeft pijn. 	 entailment 
Ze is begonnen met Dilantin. 	 De patiënt heeft geen pijnklachten. 	 contradiction 
Ze is begonnen met Dilantin. 	 De patiënt is in het ziekenhuis opgenomen 	 neutral 
[**Bekende patient voornaam **] [**Bekende patient achternaam 6979**] is een 54-jarige vrouw met een voorgeschiedenis van CNS lymfoom die zich presenteert met toenemende aanvallen en hypotensie. 	 de patiënt heeft CNS lymfoom 	 entailment 
[**Bekende patient voornaam **] [**Bekende patient achternaam 6979**] is een 54-jarige vrouw met een voorgeschiedenis van CNS lymfoom die zich presenteert met toenemende aanvallen en hypotensie. 	 de patiënt heeft geen neurologische symptomen 	 contradiction 
[**Bekende patient voornaam **] [**Bekende patient achternaam 6979**] is een 54-jarige vrouw met een voorgeschiedenis van CNS lymfoom die zich presenteert met toenemende aanvallen en hypotensie. 	 de patiënt HIV heeft 	 neutral 
Op dat moment beschreef hij zijn pijn als een beklemmend en brandend gevoel op de borst, met een uitstraling naar zijn nek, kaak en armen. 	 Hij heeft pijn op de borst 	 entailment 
Op dat moment beschreef hij zijn pijn als een beklemmend en brandend gevoel op de borst, met een uitstraling naar zijn nek, kaak en armen. 	 Hij ontkent pijn 	 contradiction 
Op dat moment beschreef hij zijn pijn als drukkend en brandend op de borst, met bijbehorende uitstraling naar zijn nek, kaak en armen. 	 Hij heeft een geschiedenis van coronaire hartziekte en hypertensie 	 neutral 
Metastatisch niercelcarcinoom - diagnose in [**4-/3406**] - s/p radicale nefrectomie links [**5-13**] met pathologie consistent met clear cell carcinoom - s/p wigresectie rechter bovenkwab voor longmetastase [**9-14**] - hersenmetastase rechter frontale kwab s/p resectie [**4-15**] met sterotactische radiochirurgie op resectieplaats [**5-16**] - s/p hoge dosis IL-2 [**11-15**] - s/p rechter bilobectomie (rechter bovenkwab en rechter middenkwab) [**1-16**] - s/p rechter borstwandresectie [**11-17**] - s/p rechter onderkwab wigresectie [**4-18**] - T8 s/p cyberknife [**11-18**] - s/p sunitinib [**8-18**] gecompliceerd door hand-voetsyndroom, mucositis - RAD001 trial [**1-18**] tot heden - s/p T8 en T9 vetebrectomie en recontructie [**3413-8-18**] Hypertensie Peptische ulcusziekte (h. pylori positief) Hyperglycemie 	 Geen chirurgische voorgeschiedenis 	 contradiction 
Ze had een MRI als onderdeel van haar metastatisch onderzoek, dat meerdere hersenmetastasen onthulde, waarvan de grootste 1,5 cm was. 	 Patiënt heeft kanker 	 entailment 
Ze had een MRI als onderdeel van haar metastatisch onderzoek, dat meerdere hersenmetastasen onthulde, waarvan de grootste 1,5 cm was. 	 De patiënt heeft geen maligniteit 	 contradiction 
Ze had een MRI als onderdeel van haar metastatisch onderzoek, dat meerdere hersenmetastasen onthulde, waarvan de grootste 1,5 cm was. 	 Patiënt heeft ziekte door haar lichaam 	 neutral 
Hij kon de melk binnenhouden en heeft op geen enkel moment gebraakt of gezogen. 	 de patiënt een zuigeling is 	 entailment 
Hij kon de melk binnenhouden en heeft op geen enkel moment gebraakt of gezogen. 	 de patiënt is aan het aspireren 	 contradiction 
Hij kon de melk binnenhouden en heeft op geen enkel moment gebraakt of gezogen. 	 de patiënt te vroeg is 	 neutral 
CXR toonde lage longvolumes, geen focale consolidatie of pleurale effusie, minimale atelectase links basilair. 	 De patiënt heeft in principe normale röntgenfoto's van de borstkas 	 entailment 
CXR toonde lage longvolumes, geen focale consolidatie of pleurale effusie, minimale atelectase links basilair. 	 De patiënt heeft goed uitgezette longen 	 contradiction 
CXR toonde lage longvolumes, geen focale consolidatie of pleurale effusie, minimale atelectase links basilair. 	 Patiënt heeft vroege aspiratie 	 neutral 
De patiënt ontkende hoest, dysurie, hoofdpijn, fotofobie, stijve nek, of diarree. 	 De patiënt heeft geen pijn bij het plassen 	 entailment 
De patiënt ontkende hoest, dysurie, hoofdpijn, fotofobie, stijve nek, of diarree. 	 De patiënt klaagt over pijnlijk urineren 	 contradiction 
De patiënt ontkende hoest, dysurie, hoofdpijn, fotofobie, stijve nek, of diarree. 	 Geen voorgeschiedenis van meningitis 	 neutral 
Ze is nu in stabiele toestand en van de pressors en IABP af. 	 Ze werd behandeld voor een hartkwaal 	 entailment 
Ze is nu in stabiele toestand en van de pressors en IABP af. 	 Ze heeft geen voorgeschiedenis van hartziekte 	 contradiction 
Ze is nu in stabiele toestand en van de pressors en IABP af. 	 Ze heeft een geschiedenis van myocard infarct 	 neutral 
Hij kreeg depakote om aanvallen te voorkomen en Ativan. 	 de patiënt heeft een voorgeschiedenis van toevallen 	 entailment 
Hij kreeg depakote om aanvallen te voorkomen en Ativan. 	 de patiënt heeft geen voorgeschiedenis van toevallen 	 contradiction 
Hij kreeg depakote om aanvallen te voorkomen en Ativan. 	 de patiënt heeft een hersentumor 	 neutral 
75 jaar/o M met atriumfibrillatie, HTN, dyslipidemie, en DVT (terwijl hij coumadin gebruikte, dus nu lovenox), die na 1 dag een verergering van de SOB en hoest met helder sputum vertoonde. 	 de patiënt heeft kortademigheid 	 entailment 
75 jaar/o M met atriumfibrillatie, HTN, dyslipidemie, en DVT (terwijl hij coumadin gebruikte, dus nu lovenox), die na 1 dag een verergering van de SOB en hoest met helder sputum vertoonde. 	 de patiënt ontkent ademhalingsmoeilijkheden 	 contradiction 
75 jaar/o M met atriumfibrillatie, HTN, dyslipidemie, en DVT (terwijl hij coumadin gebruikte, dus nu lovenox), die na 1 dag een verergering van de SOB en hoest met helder sputum vertoonde. 	 de patiënt heeft longontsteking 	 neutral 
Voorgeschiedenis van TIA [**5-/3025**] met linker hemi[** Locatie **] die verdween. 	 De patiënt heeft een focaal neurologisch deficit 	 entailment 
Voorgeschiedenis van TIA [**5-/3025**] met linker hemi[** Locatie **] die verdween. 	 De patiënt heeft geen symptomen 	 contradiction 
Voorgeschiedenis van TIA [**5-/3025**] met linker hemi[** Locatie **] die verdween. 	 De patiënt heeft een abnormale hersen MRI 	 neutral 
Haar abdominaal onderzoek was goedaardig. 	 De patiënt heeft geen abdominaal onderzoek dat wijst op een infectie. 	 entailment 
Haar abdominaal onderzoek was goedaardig. 	 De patiënt heeft peritoneale tekenen. 	 contradiction 
Haar abdominaal onderzoek was goedaardig. 	 De patiënt heeft geen acuut intra-abdominaal proces. 	 neutral 
GASTROINTESTINAL: [**Bekende patiënt achternaam 635**] werd op [**10-16**] gestart met Reglan en Zantac om de medische therapie die mogelijk bijdraagt aan zijn apneu- en bradycarde episodes te maximaliseren. 	 Hij had een trage hartslag en onderbroken ademhaling 	 entailment 
GASTROINTESTINAL: [**Bekende patiënt achternaam 635**] werd op [**10-16**] gestart met Reglan en Zantac om de medische therapie die mogelijk bijdraagt aan zijn apneu- en bradycarde episodes te maximaliseren. 	 Zijn ademhaling en hartslag zijn normaal 	 contradiction 
GASTROINTESTINAL: [**Bekende patiënt achternaam 635**] werd op [**10-16**] gestart met Reglan en Zantac om de medische therapie die mogelijk bijdraagt aan zijn apneu- en bradycarde episodes te maximaliseren. 	 Hij heeft een geschiedenis van obesitas 	 neutral 
Hij nam wat oxycodon zonder verlichting. 	 Hij had pijn 	 entailment 
Hij nam wat oxycodon zonder verlichting. 	 Hij heeft geen pijn 	 contradiction 
Hij nam wat oxycodon zonder verlichting. 	 Hij heeft buikpijn 	 neutral 
VRE septische tromboflebitis in IJ ([**1-19**]) s/p linezolid) 6. 	 de patiënt had een infectie in de ij 	 entailment 
VRE septische tromboflebitis in IJ ([**1-19**]) s/p linezolid) 6. 	 de patiënt heeft geen voorgeschiedenis van infectie 	 contradiction 
VRE septische tromboflebitis in IJ ([**1-19**]) s/p linezolid) 6. 	 de patiënt had een centrale lijn 	 neutral 
Zij is op [**ziekenhuis1 294**] op [**6-17**] gezien door de ID, die vond dat dit minder waarschijnlijk een infectieproces was. 	 De patiënt werd geëvalueerd door besmettelijke ziektespecialisten 	 entailment 
Zij is op [**ziekenhuis1 294**] op [**6-17**] gezien door de ID, die vond dat dit minder waarschijnlijk een infectieproces was. 	 De patiënt werd verdacht van tuberculose 	 contradiction 
Zij is op [**ziekenhuis1 294**] op [**6-17**] gezien door de ID, die vond dat dit minder waarschijnlijk een infectieproces was. 	 De patiënt heeft koorts en een verhoogd aantal witte bloedcellen. 	 neutral 
Pacemaker voor ziek sinus syndroom. 	 Pacemakers worden gebruikt voor symptomatische aritmieën. 	 entailment 
Pacemaker voor ziek sinus syndroom. 	 Pacemakers worden gebruikt voor longoedeem. 	 contradiction 
Pacemaker voor ziek sinus syndroom. 	 Patiënten met een pacemaker hebben atriumfibrillatie. 	 neutral 
EMS vond haar thuis waar ze toegaf 60mg Cymbalta, 12mg Cyproheptadine, en 22mg Klonopin te hebben ingenomen met een hele fles wijn (750cc). 	 Ze nam opzettelijk een overdosis voorgeschreven medicijnen 	 entailment 
EMS vond haar thuis waar ze toegaf 60mg Cymbalta, 12mg Cyproheptadine, en 22mg Klonopin te hebben ingenomen met een hele fles wijn (750cc). 	 Ze heeft geen medicijnen ingenomen 	 contradiction 
EMS vond haar thuis waar ze toegaf 60mg Cymbalta, 12mg Cyproheptadine, en 22mg Klonopin te hebben ingenomen met een hele fles wijn (750cc). 	 Ze heeft een geschiedenis van depressie 	 neutral 
Hij onderging op [**3313-12-1**] een gedeeltelijke vertebrectomie, fusie, debridement en plaatsing van een wervelafstandhouder op L3-L4. . 	 De patiënt heeft een ingreep aan de wervelkolom gehad 	 entailment 
Hij onderging op [**3313-12-1**] een gedeeltelijke vertebrectomie, fusie, debridement en plaatsing van een wervelafstandhouder op L3-L4. . 	 Patiënt heeft geen PSH 	 contradiction 
Hij onderging op [**3313-12-1**] een gedeeltelijke vertebrectomie, fusie, debridement en plaatsing van een wervelafstandhouder op L3-L4. . 	 De patiënt heeft rugpijn 	 neutral 
-Colon CA: T3N2, dx 2 jaar geleden, s/p resectie ([**5-17**] LN+), uitzaaiingen naar lever en hersenen, laatste CEA 7.4 -Chemo: laatste [**11-12**] -HTN -GERD 	 De patiënt heeft kanker 	 entailment 
-Colon CA: T3N2, dx 2 jaar geleden, s/p resectie ([**5-17**] LN+), uitzaaiingen naar lever en hersenen, laatste CEA 7.4 -Chemo: laatste [**11-12**] -HTN -GERD 	 De patiënt heeft geen voorgeschiedenis van kanker 	 contradiction 
-Colon CA: T3N2, dx 2 jaar geleden, s/p resectie ([**5-17**] LN+), uitzaaiingen naar lever en hersenen, laatste CEA 7.4 -Chemo: laatste [**11-12**] -HTN -GERD 	 Geschiedenis van melena 	 neutral 
Kwam naar de spoed met klachten over overgeven en zwakte. 	 Patiënt heeft pijn in de bovenste GI 	 entailment 
Kwam naar de spoed met klachten over overgeven en zwakte. 	 Patiënt heeft negatieve ROS 	 contradiction 
Kwam naar de spoed met klachten over overgeven en zwakte. 	 Patiënt heeft misselijkheid 	 neutral 
CAD: CAD s/p CABG (LIMA naar LAD, SVG naar OM) s/p PCI ([**3-4**]) 2. 	 patient heeft geschiedenis van cabg 	 entailment 
CAD: CAD s/p CABG (LIMA naar LAD, SVG naar OM) s/p PCI ([**3-4**]) 2. 	 de patiënt heeft geen hartgeschiedenis 	 contradiction 
CAD: CAD s/p CABG (LIMA naar LAD, SVG naar OM) s/p PCI ([**3-4**]) 2. 	 patiënt heeft hartfalen 	 neutral 
Onderging ORIF van R knie op [**11-19**] wegens niet-[**Ziekenhuis1 **]. - s/p herstelling van R gescheurde patellapees in [**3227**] . 	 De patiënt heeft een trauma gehad 	 entailment 
Onderging ORIF van R knie op [**11-19**] wegens niet-[**Ziekenhuis1 **]. - s/p herstelling van R gescheurde patellapees in [**3227**] . 	 Patiënt wordt niet geopereerd 	 contradiction 
Onderging ORIF van R knie op [**11-19**] wegens niet-[**Ziekenhuis1 **]. - s/p herstelling van R gescheurde patellapees in [**3227**] . 	 De patiënt heeft kniepijn 	 neutral 
Terugkerende pleurale effusie- onduidelijke etiologie, cytologie negatief in het verleden. 	 de patiënt heeft recidiverende pleurale effusies 	 entailment 
Terugkerende pleurale effusie- onduidelijke etiologie, cytologie negatief in het verleden. 	 de patiënt heeft geen voorgeschiedenis van effusie 	 contradiction 
Terugkerende pleurale effusie- onduidelijke etiologie, cytologie negatief in het verleden. 	 de patiënt longkanker heeft 	 neutral 
leeftijd [**7-24**] ARF met artritis, hartruis. leeftijd 20 Hypertensie, 4+ labiel met enkele [**Maand/Jaar (2) 21269**] van 200/100 waarvoor hij naar de ED is gegaan voor controle. 	 Meerdere medische aandoeningen 	 entailment 
leeftijd [**7-24**] ARF met artritis, hartruis. leeftijd 20 Hypertensie, 4+ labiel met enkele [**Maand/Jaar (2) 21269**] van 200/100 waarvoor hij naar de ED is gegaan voor controle. 	 De hartfunctie is normaal 	 contradiction 
leeftijd [**7-24**] ARF met artritis, hartruis. leeftijd 20 Hypertensie, 4+ labiel met enkele [**Maand/Jaar (2) 21269**] van 200/100 waarvoor hij naar de ED is gegaan voor controle. 	 Gebruikt anti-hypertensiva 	 neutral 
Ze ontkende elk verlies van bewustzijn of pijn. 	 Ze was wakker en alert 	 entailment 
Ze ontkende elk verlies van bewustzijn of pijn. 	 Ze is bewusteloos 	 contradiction 
Ze ontkende elk verlies van bewustzijn of pijn. 	 Ze heeft een geschiedenis van hoofdletsel 	 neutral 
Vrouw van 83 jaar met PMHX sig voor HTN, CHF met diastolische disfunctie, stenose van rechter nierslagader p/w toegenomen lethargie en gebrek aan reactie gedurende 1 dag. 	 De patiënt heeft een hartaandoening. 	 entailment 
Vrouw van 83 jaar met PMHX sig voor HTN, CHF met diastolische disfunctie, stenose van rechter nierslagader p/w toegenomen lethargie en gebrek aan reactie gedurende 1 dag. 	 De patiënt heeft een normaal werkend hart. 	 contradiction 
Vrouw van 83 jaar met PMHX sig voor HTN, CHF met diastolische disfunctie, stenose van rechter nierslagader p/w toegenomen lethargie en gebrek aan reactie gedurende 1 dag. 	 De patiënt ontwikkelde een diastolische disfunctie door langdurige hypertensie. 	 neutral 
Ze zegt dat de pijn vergelijkbaar was met die toen ze haar MI's had. 	 De patiënt heeft een belangrijke cardiale voorgeschiedenis 	 entailment 
Ze zegt dat de pijn vergelijkbaar was met die toen ze haar MI's had. 	 De patiënt heeft een normaal EKG 	 contradiction 
Ze zegt dat de pijn vergelijkbaar was met die toen ze haar MI's had. 	 De patiënt heeft een verhoogd troponine 	 neutral 
47-jarige vrouw met HepC/Cirrose op lever [**Maand/Dag/Jaar 1222**] lijst, doorverwezen voor abnormale labuitslagen, WBC van 77K op [**7-7**]. 	 De patiënt heeft bevindingen die wijzen op een infectie. 	 entailment 
47-jarige vrouw met HepC/Cirrose op lever [**Maand/Dag/Jaar 1222**] lijst, doorverwezen voor abnormale labuitslagen, WBC van 77K op [**7-7**]. 	 De patiënt heeft geen bevindingen die wijzen op een infectie. 	 contradiction 
47-jarige vrouw met HepC/Cirrose op lever [**Maand/Dag/Jaar 1222**] lijst, doorverwezen voor abnormale labuitslagen, WBC van 77K op [**7-7**]. 	 De patiënt heeft spontane bacteriële peritonitis. 	 neutral 
Moeder kwam op [**12-15**] met vaginaal bloedverlies en een groot stolsel dat op de echo te zien was. 	 Patiënt had abnormale bloedingen en echografie 	 entailment 
Moeder kwam op [**12-15**] met vaginaal bloedverlies en een groot stolsel dat op de echo te zien was. 	 Echografie was onopvallend 	 contradiction 
Moeder kwam op [**12-15**] met vaginaal bloedverlies en een groot stolsel dat op de echo te zien was. 	 De patiënt klaagde over pijn in het bekken 	 neutral 
Toen ze op de spoedafdeling aankwam, toonde VS SBP in de 70, 02 sats 97%, HR 68 Labetalol gestopt en IVF's gegeven met terugkeer van SBPS naar 90s-100s. 	 De patiënt heeft in het verleden een medische geschiedenis van hypertensie. 	 entailment 
Toen ze op de spoedafdeling aankwam, toonde VS SBP in de 70, 02 sats 97%, HR 68 Labetalol gestopt en IVF's gegeven met terugkeer van SBPS naar 90s-100s. 	 De patiënt neemt geen medicijnen. 	 contradiction 
Toen ze op de spoedafdeling aankwam, toonde VS SBP in de 70, 02 sats 97%, HR 68 Labetalol gestopt en IVF's gegeven met terugkeer van SBPS naar 90s-100s. 	 De patiënt had een overdosis labetalol. 	 neutral 
Totale cardiopulmonaire bypass tijd was 113 minuten. 	 Patiënt heeft een CABG gehad 	 entailment 
Totale cardiopulmonaire bypass tijd was 113 minuten. 	 De patiënt heeft geen CAD 	 contradiction 
Totale cardiopulmonaire bypass tijd was 113 minuten. 	 Patiënt heeft PAD 	 neutral 
De patiënt werd vervolgens gestart met Levophed 0,03mcg/kg/min. 	 De patient is begonnen met Norepinephrine 	 entailment 
De patiënt werd vervolgens gestart met Levophed 0,03mcg/kg/min. 	 De patient had geen indicatie voor Norepinephrine 	 contradiction 
De patiënt werd vervolgens gestart met Levophed 0,03mcg/kg/min. 	 De patiënt heeft septische shock 	 neutral 
Baby meisje [**Bekende patienten achternaam 39746**] werd geboren door een herhaalde geplande keizersnede met een Apgar score van 4 na één minuut, 5 na vijf minuten, en 7 na tien minuten. 	 De patiënt heeft een slechte apgars gehad. 	 entailment 
Baby meisje [**Bekende patienten achternaam 39746**] werd geboren door een herhaalde geplande keizersnede met een Apgar score van 4 na één minuut, 5 na vijf minuten, en 7 na tien minuten. 	 De baby had geruststellende apgars. 	 contradiction 
Baby meisje [**Bekende patienten achternaam 39746**] werd geboren door een herhaalde geplande keizersnede met een Apgar score van 4 na één minuut, 5 na vijf minuten, en 7 na tien minuten. 	 De patiënt was te vroeg geboren. 	 neutral 
Hij reageerde op commando's en probeerde rechtop te zitten. 	 Hij was in staat te reageren als hij werd aangesproken 	 entailment 
Hij reageerde op commando's en probeerde rechtop te zitten. 	 Hij was comateus 	 contradiction 
Hij reageerde op commando's en probeerde rechtop te zitten. 	 Hij heeft een geschiedenis van overdosis drugs 	 neutral 
Ze begon er ibuprofen voor te nemen in een dosis van [**Voornaam8 (NaamPatroon2) **] [**Laatse naam (on) 5416**]. 	 De patiënt neemt pijnstillers. 	 entailment 
Ze begon er ibuprofen voor te nemen in een dosis van [**Voornaam8 (NaamPatroon2) **] [**Laatse naam (on) 5416**]. 	 De patiënt heeft geen pijn. 	 contradiction 
Ze begon er ibuprofen voor te nemen in een dosis van [**Voornaam8 (NaamPatroon2) **] [**Laatse Naam (on) 5416**]. 	 De patiënt heeft een musculoskeletale verwonding. 	 neutral 
Op de spoedafdeling had hij aanvankelijk FSBS 142 om 17.55 uur, daarna 74 om 18.30 uur, en begon hij aan een D10-infuus van 100 per uur, sindsdien zijn de suikers elke 40 minuten 83-143-11. 	 De patiënt had dalende bloed sgaren. 	 entailment 
Op de spoedafdeling had hij aanvankelijk FSBS 142 om 17.55 uur, daarna 74 om 18.30 uur, en begon hij aan een D10-infuus van 100 per uur, sindsdien zijn de suikers elke 40 minuten 83-143-11. 	 De patiënt heeft normale bloedglucosewaarden. 	 contradiction 
Op de spoedafdeling had hij aanvankelijk FSBS 142 om 17.55 uur, daarna 74 om 18.30 uur, en begon hij aan een D10-infuus van 100 per uur, sindsdien zijn de suikers elke 40 minuten 83-143-11. 	 De patiënt had een overdosis insuline. 	 neutral 
Hemi-sternotomie en lood extractie op [**3090-11-5**]. 	 patiënt heeft geschiedenis van lood extractie 	 entailment 
Hemi-sternotomie en lood extractie op [**3090-11-5**]. 	 de patiënt heeft geen hartgeschiedenis 	 contradiction 
Hemi-sternotomie en lood extractie op [**3090-11-5**]. 	 Het klinisch team probeert MRI te verkrijgen 	 neutral 
Recidief vastgesteld bij hersenbiopsie door [**2663-5-19**]. 	 Abnormale hersenbiopsie 	 entailment 
Recidief vastgesteld bij hersenbiopsie door [**2663-5-19**]. 	 Hersenbiopsie is normaal 	 contradiction 
Recidief vastgesteld bij hersenbiopsie door [**2663-5-19**]. 	 Intracraniële neoplasma 	 neutral 
Ze kreeg een bicarbonaatinfuus en houtskool voor een vermoedelijke TCA-overdosis. 	 Ze werd behandeld voor een mogelijke overdosis tricyclische antidepressiva 	 entailment 
Ze kreeg een bicarbonaatinfuus en houtskool voor een vermoedelijke TCA-overdosis. 	 Geen indicatie van overdosis drugs 	 contradiction 
Ze kreeg een bicarbonaatinfuus en houtskool voor een vermoedelijke TCA-overdosis. 	 Ze heeft een zware depressie 	 neutral 
Bij aankomst in het [**Naam (NI) **], pt's VS: T 98.7, HR 128, BP 111/55, RR 20, Sa02 100% op 2L. 	 De hartslag van de patiënt is hoog 	 entailment 
Bij aankomst in het [**Naam (NI) **], pt's VS: T 98.7, HR 128, BP 111/55, RR 20, Sa02 100% op 2L. 	 De patiënt is hypertensief 	 contradiction 
Bij aankomst in het [**Naam (NI) **], pt's VS: T 98.7, HR 128, BP 111/55, RR 20, Sa02 100% op 2L. 	 De patiënt heeft een voorgeschiedenis van COPD 	 neutral 
